id	subject	unit	daimon	question	answer	image_id
so-wgeo-018	social	世界地理	5	〈時差の計算〉(1) 東経30度付近に位置するカイロと日本の標準時子午線の経度差は①[ ]度。したがって、時差は②[ ]時間となり、カイロが4月15日午前11時のときの日本の日付と時刻は③[ ]となる。	①105 ②7 ③4月15日午後6時	so_wgeo_05
so-wgeo-019	social	世界地理	5	〈時差の計算〉(2) 西経75度付近に位置するニューヨークと日本の経度差は①[ ]度。したがって、時差は②[ ]時間となるので、ニューヨークが4月15日午前11時のときの日本の日付と時刻は③[ ]となる。	①210 ②14 ③4月16日午前1時	so_wgeo_05
so-wgeo-020	social	世界地理	6	〈世界の気候〉(1) Aは①[熱帯], Bは②[乾燥帯], Cは③[温帯], Dは④[冷帯(亜寒帯)], Eは⑤[寒帯]である。	①熱帯 ②乾燥帯 ③温帯 ④冷帯(亜寒帯) ⑤寒帯	so_wgeo_06
so-wgeo-021	social	世界地理	6	〈世界の気候〉(2) 熱帯のうち、赤道周辺は①[ ]気候、その周りは②[ ]気候。乾燥帯は、ほとんど雨が降らない③[ ]気候と、少し雨が降る④[ ]気候に分けられる。	①熱帯雨林 ②サバナ ③砂漠 ④ステップ	so_wgeo_06
so-wgeo-022	social	世界地理	7	〈温帯の気候〉パリのように夏と冬の気温差が小さく、1年中少雨の気候を①[ ]。ローマのように温和で、夏に乾燥する気候を②[ ]。東京のように夏に高温多雨となる気候を③[ ]。	①西岸海洋性気候 ②地中海性気候 ③温暖湿潤気候	so_wgeo_07
so-wgeo-023	social	世界地理	8	〈アジア州の様子〉(1) 日本がふくまれるAの[ ]アジア。 (2) Bは世界最高峰をふくむ①[ ]山脈。Cの②[ ]湾。 (3) 東南アジア諸国連合の略称[ ]。	(1)東アジア (2)①ヒマラヤ ②ペルシャ (3)ASEAN	so_wgeo_08
so-wgeo-024	social	世界地理	9	〈中国の産業〉(1) Aの黄河流域の①[ ]と呼ばれる地域。Bの②[ ]の流域(華中,華南)では③[ ]がさかん。 (2) 沿海部には①[ ](アモイなど)が設けられ、②[ ]が広がり社会問題に。	(1)①畑作 ②長江 ③稲作 (2)①経済特区 ②経済格差	so_wgeo_09
so-wgeo-025	social	世界地理	10	〈ヨーロッパ州の様子〉(1) Aの①[ ]山脈。Bの②[ ]川やドナウ川。Cの③[ ]では石油を産出。 (2) 1993年に①[ ](ヨーロッパ連合)が結成。共通通貨は②[ ]。	(1)①アルプス ②ライン ③北海 (2)①EU ②ユーロ	so_wgeo_10
so-wgeo-026	social	世界地理	11	〈ヨーロッパの農業〉(1) 組み合わせた①[ ]、乳牛を飼育する②[ ]、夏にオリーブなどを栽培する③[ ]。 (2) Aは①、Bは②、Cは③のさかんな地域。	(1)①混合農業 ②酪農 ③地中海式農業 (2)①混合農業 ②酪農 ③地中海式農業	so_wgeo_11
so-wgeo-027	social	世界地理	12	〈アフリカ州の様子〉(1) Aの①[ ]砂漠。Bの②[ ]川は世界最長。 (2) アフリカはヨーロッパの①[ ]となり、②[ ]が開かれた。Cの地域では③[ ]の栽培がさかん。 (3) アフリカでは[ ](希少金属)の埋蔵量も多い。	(1)①サハラ ②ナイル (2)①植民地 ②プランテーション ③カカオ豆 (3)レアメタル	so_wgeo_12
so-wgeo-028	social	世界地理	13	〈北アメリカ州の農牧業地域と人々〉(1) Xは①[ ]山脈、Yは②[ ]。 (2) ①は[酪農]、②は[とうもろこし・大豆]、③は[小麦]。 (3) Aの地域では[ ]式農業。 (4) 17世紀初めにやってきた①[ ]。スペイン語を話す③[ ]は②[ ]と呼ばれる。	(1)①ロッキー ②ミシシッピ川 (2)①酪農 ②とうもろこし・大豆 ③小麦 (3)地中海 (4)①移民 ②ヒスパニック ③スペイン語	so_wgeo_13
so-wgeo-029	social	世界地理	14	〈アメリカ合衆国の都市〉(1) Aは①[ ], Bは②[ ], Cは③[ ], Dは④[ ]。 (2) Eは①[ ], Fは②[ ]。 (3) ①[ ]、②[ ]。	(1)①ロサンゼルス ②シカゴ ③デトロイト ④ヒューストン (2)①ニューヨーク ②ワシントンD.C. (3)①シリコンバレー ②サンベルト	so_wgeo_14
so-wgeo-030	social	世界地理	15	〈南アメリカ州の様子〉(1) Aの①[ ]山脈。Bは②[ ]川。③[ ]農業が行われる。 (2) Cの大草原は[ ]。	(1)①アンデス ②アマゾン ③焼畑 (2)パンパ	so_wgeo_15
so-wgeo-031	social	世界地理	16	〈オセアニア州の様子〉(1) Aは①[ ], Bは②[ ], Cは③[ ]。 (2) Aでは[ ]が行われる。 (3) Aの先住民は①[ ], Bは②[ ]。	(1)①オーストラリア ②ニュージーランド ③太平洋の島々 (2)放牧 (3)①アボリジニ ②マオリ	so_wgeo_16
